2842221,1238030,EVT20102842221,GC20101238030,1217533
2842222,1238031,EVT20102842222,GC20101238031,1217533
2842223,1238032,EVT20102842223,GC20101238032,1217533
2842224,1238033,EVT20102842224,GC20101238033,1217533
2842225,1238034,EVT20102842225,GC20101238034,1217533
2842226,1238035,EVT20102842226,GC20101238035,1217533
2842227,1238036,EVT20102842227,GC20101238036,1217533
2842228,1238037,EVT20102842228,GC20101238037,1217533
2842229,1238038,EVT20102842229,GC20101238038,1217533
2842230,1238039,EVT20102842230,GC20101238039,1217533
